FALSE,入稿実行,,,,,,,,,,,,,
項番,入稿有無,公開日,問題,正解,URL,カテゴリ,タイトル,説明文,ヒント,解説文,締め,X投稿文,,
,入稿済,2026/01/11,,,business-manner/article/35,ビジネスマナー,【電話対応】「もしもし」,ビジネス電話で第一声に「もしもし」と言うのは？\n A. OK\n B. NG\n C. 相手による\n D. 天気による,ヒント1：「もしもし」は「申す申す」の略語で、少しカジュアルな響きがあります。\n\nヒント2：会社を代表して電話に出ています。,正解：B. NG\n\n【解説】\nビジネス電話では「もしもし」は使いません。「はい、株式会社〇〇でございます」「お電話ありがとうございます」などが適切です。かける際も「お世話になっております」から始めます。,携帯電話の普及で「もしもし」が増えていますが、オフィスの電話では封印しましょう。,,,
,入稿済,2026/01/12,,,business-manner/article/36,ビジネスマナー,【エレベーター】乗る順番,来客を案内してエレベーターに乗る時、正しい順序は？\n A. お客様が先に乗る\n B. 自分が先に乗る\n C. 同時に乗る\n D. 誰も乗らない,ヒント1：エレベーターの中には操作盤があります。\n\nヒント2：誰かがドアを押さえておく必要があります。,正解：B. 自分が先に乗る\n\n【解説】\n案内する側が先に乗り込み、「開」ボタンを押してドアを押さえ、お客様を招き入れるのが基本です。降りる時は、お客様に先に降りていただき、自分は後から降ります。,「お先に失礼します」と一言添えてサッと乗り込み、ボタンを守る。これがスマートな案内です。,,,
,入稿済,2026/01/12,,,business-manner/article/37,ビジネスマナー,【言葉遣い】了解しました,上司からの指示に対して「了解しました」と答えるのは？\n A. 正しい\n B. 間違いではないが「承知しました」がベター\n C. 絶対に禁止\n D. とても丁寧,ヒント1：「了解」は「理解した」という意味で、同僚や目下に対して使う言葉とされています。\n\nヒント2：目上の人には「承る（うけたまわる）」を使います。,正解：B. 間違いではないが「承知しました」がベター\n\n【解説】\n「了解」は敬意が軽いため、目上の人には不向きとされることが多いです。「承知いたしました」や「かしこまりました」を使うのが、ビジネスパーソンとしての無難で美しい対応です。,言葉警察になる必要はありませんが、「承知いたしました」と言えるとかっこいいですね。,,,
,入稿済,2026/01/13,,,business-manner/article/38,ビジネスマナー,【メール】CCの使い方,メールを送る際、CCに入れた人に対してはどういう意味がある？\n A. 返信を求めている\n B. 念のため共有している\n C. 責任を押し付けている\n D. 隠れて見ている,ヒント1：宛先（To）は「あなたに送ります（返信してね）」です。\n\nヒント2：CC（カーボンコピー）は「参考までに見ておいてね」です。,正解：B. 念のため共有している\n\n【解説】\nCCは「情報の共有」が目的です。基本的には返信義務はありませんが、内容は把握しておく必要があります。Toの人へのやり取りを、関係者にも知らせたい時に使います。,メール１通でも、ToとCCの使い分けで「誰にボールがあるか」が明確になります。,,,
,入稿済,2026/01/13,,,business-manner/article/39,ビジネスマナー,【訪問】到着時間,14時のアポイントの場合、受付に到着するのは何分前がベスト？\n A. 30分前\n B. 15分前\n C. 5分前\n D. ぴったり,ヒント1：早すぎると相手の準備ができていないかもしれません。\n\nヒント2：遅刻は論外ですが、相手の時間を奪わない配慮が必要です。,正解：C. 5分前\n\n【解説】\n早すぎる訪問は、相手の休憩時間や前の仕事を中断させてしまうため迷惑になることがあります。5分前くらいに受付に着くのがベストです。早めに着いたら近くで時間を潰しましょう。,「早め行動」は大切ですが、訪問に関しては「オンタイム」の配慮が重要です。,,,
,入稿済,2026/01/14,,,business-manner/article/40,ビジネスマナー,【身だしなみ】コート,冬場、訪問先の企業に入る時、コートはどこで脱ぐ？\n A. 受付の前\n B. 建物の外（エントランス）\n C. 会議室の中\n D. 脱がなくて良い,ヒント1：コートには外の埃や寒気がついています。\n\nヒント2：建物の中に持ち込まない、という心遣いです。,正解：B. 建物の外（エントランス）\n\n【解説】\n建物の入り口（エントランスホールなど）で脱ぎ、裏返して畳んで腕にかけてから受付に向かいます。帰る時も、建物の外に出てから着用するのがマナーです。,寒い日でも、玄関前でサッと脱ぐ。そのひと手間が「できる人」の証です。,,,
,入稿済,2026/01/14,,,business-manner/article/41,ビジネスマナー,【席次】会議室,議長（進行役）がいる会議室での上座はどこ？\n A. 出入り口の近く\n B. 議長の真正面\n C. 議長の隣\n D. 議長から一番遠い奥の席,ヒント1：出入り口から遠い方が落ち着ける「上座」の基本は変わりません。\n\nヒント2：議長を中心に見やすい位置も重要です。,正解：D. 議長から一番遠い奥の席\n\n【解説】\n基本は「入り口から一番遠い席」が上座です。ただし、景色が良い窓側がある場合はそちらが上座になることもあります。迷ったら「奥が偉い人」と覚えておきましょう。,席次には歴史と配慮が詰まっていますが、最近は「座りやすいところで」というフランクな現場も増えていますね。,,,
,入稿済,2026/01/15,,,business-manner/article/42,ビジネスマナー,【呼称】自社の社長,他社の人に対して、自分の会社の社長（佐藤）の話をする時、どう呼ぶ？\n A. 佐藤社長\n B. 社長の佐藤\n C. 佐藤社長様\n D. 佐藤,ヒント1：身内（自社の人）には敬称をつけません。\n\nヒント2：呼び捨てにするのが、相手（他社）への敬意の裏返しになります。,正解：D. 佐藤（または「社長の佐藤」）\n\n【解説】\n社外の人に対しては、たとえ自分の上司や社長であっても敬称（社長、さん、様）は付けず、呼び捨てにするのがマナーです。「私どもの社長の佐藤が…」といった言い方が丁寧です。,慣れないと社長を呼び捨てにするのはドキドキしますが、それが正しいマナーです。堂々と言いましょう。,,,
,入稿済,2026/01/15,,,business-manner/article/43,ビジネスマナー,【敬語】「おっしゃられる」,「部長がおっしゃられました」という表現は正しい？\n A. 正しい\n B. 二重敬語で間違い\n C. 非常に丁寧で良い\n D. 方言である,ヒント1：「おっしゃる」は既に尊敬語です。\n\nヒント2：「れる・られる」も尊敬語です。重ねると…？,正解：B. 二重敬語で間違い\n\n【解説】\n「おっしゃる」という尊敬語に、さらに尊敬の助動詞「れる」をつけると「二重敬語」となり、過剰で不自然とされます。「部長がおっしゃいました」が正解です。,丁寧にしようとしすぎて、かえって変な日本語になってしまう。敬語の落とし穴です。,,,
,入稿済,2026/01/16,,,business-manner/article/44,ビジネスマナー,【名刺】忘れた時,名刺を忘れてしまいました。相手にどう伝える？\n A. 「忘れました」と言う\n B. 「切らしておりまして」と言う\n C. 黙っておく\n D. 手書きの紙を渡す,ヒント1：正直に「忘れた」と言うのは、仕事への準備不足を露呈します。\n\nヒント2：嘘も方便。「今は持っていない」というニュアンスで伝えます。,正解：B. 「切らしておりまして」と言う\n\n【解説】\n「ただいま名刺を切らしておりまして」と詫び、口頭で社名と氏名を伝えます。後日、郵送するか、次回会った時に「先日は失礼いたしました」と渡すのがスマートです。,忘れた自分が悪いのですが、そこをうまくカバーするのも大人のマナーです。,,,
,入稿済,2026/01/16,,,business-manner/article/45,ビジネスマナー,【食事】箸渡し,食事の席で、箸から箸へ食べ物を渡すのは？\n A. 親愛の情を示すのでOK\n B. マナー違反（タブー）\n C. 家族ならOK\n D. スピード重視ならOK,ヒント1：日本のお葬式に関係する動作です。\n\nヒント2：火葬場での「骨上げ」を連想させます。,正解：B. マナー違反（タブー）\n\n【解説】\n「箸渡し（合わせ箸）」は、火葬したお骨を拾う時の動作と同じため、食事の席では最大のタブーの一つです。取り分ける時は、一度お皿に置いてから渡しましょう。,意外とやってしまいがちなNG行為。お皿を経由すれば問題ありません。,,,
,入稿済,2026/01/17,,,business-manner/article/46,ビジネスマナー,【謝罪】お詫びの品,謝罪のために訪問する際、お詫びの品（菓子折り）はいつ渡す？\n A. 会ってすぐ\n B. 謝罪が受け入れられた後\n C. 帰り際\n D. 渡さない,ヒント1：最初に渡すと「物で解決しようとしている」と思われるかも。\n\nヒント2：まずは誠心誠意、言葉で謝ることが先決です。,正解：B. 謝罪が受け入れられた後\n\n【解説】\nまずはお詫びの言葉を述べ、相手が許してくれた（話が収まった）タイミングで「心ばかりですが…」と渡します。もし受け取りを拒否されたら、無理に置いてこずに持ち帰るのがマナーです。,お菓子は免罪符ではありません。あくまで「反省の気持ち」の添え物です。,,,
,入稿済,2026/01/17,,,business-manner/article/47,ビジネスマナー,【電話】切る順番,電話をかける側とかけられた側、どちらから切るのが基本？\n A. かけた側から\n B. かけられた側から\n C. 目上の人から\n D. 同時,ヒント1：用事があって電話したのは「かけた側」です。\n\nヒント2：ただし、相手がお客様や目上の場合は、相手が切るのを待ちます。,正解：A. かけた側から\n\n【解説】\n基本原則は「かけた方から切る」です。しかし、相手がお客様や目上の人の場合は、相手が切るのを待ってから（フックを静かに押して）切るのが配慮です。,ガチャン！と切らず、指でフックを押してツー、となってから受話器を置くと上品です。,,,
,入稿済,2026/01/18,,,business-manner/article/48,ビジネスマナー,【ビジネス文書】前略,「前略」で書き始めた手紙、結びの言葉（結語）は何？\n A. 敬具\n B. 草々\n C. 以上\n D. さようなら,ヒント1：「前略」は時候の挨拶などを省く、少し急いだ手紙です。\n\nヒント2：「草々」は「走り書きで失礼します」という意味です。,正解：B. 草々\n\n【解説】\n「拝啓」には「敬具」、「前略」には「草々」がセットです。「前略」を使った場合、時候の挨拶は省いてすぐに用件に入ります。,手紙のルールはパズルのようなもの。セットで覚えておけば迷いません。,,,
,入稿済,2026/01/18,,,business-manner/article/49,ビジネスマナー,【エスカレーター】立ち位置,上司とエスカレーターに乗る時、部下はどこに立つ？\n A. 上司の前\n B. 上司の後ろ\n C. どちらでも良い\n D. 隣,ヒント1：もし上司がバランスを崩して落ちてきたら…？\n\nヒント2：上りか下りかではなく、「上司より低い位置」と覚えましょう。,正解：B.（ただし状況による）\n※正確には「上司を見下ろさない位置」\n\n【解説】\n基本的には「上司が上、部下が下」の段に乗ります。\n上り：上司が先（前）、部下が後（後）。\n下り：上司が後（上）、部下が先（前・下）。\n万が一の転倒時に支えられる位置、とも言われます。,「上司を見下ろさない」と覚えておけば、上りも下りも対応できますね。,,,
,入稿済,2026/01/19,,,business-manner/article/50,ビジネスマナー,【お中元】時期,夏のご挨拶「お中元」。関東では一般的にいつまで？\n A. 6月末\n B. 7月15日頃\n C. 8月末\n D. 9月,ヒント1：地域によって異なりますが、関東は早いです。\n\nヒント2：お盆の時期に関係します。,正解：B. 7月15日頃\n\n【解説】\n関東では7月初旬〜7月15日頃までに贈るのが一般的です。それを過ぎると「暑中御見舞」、立秋（8/7頃）を過ぎると「残暑御見舞」と表書きが変わります。,季節の挨拶はタイミングが命。カレンダーのチェックを忘れずに。,,,
,入稿済,2026/01/19,,,business-manner/article/51,ビジネスマナー,【言葉遣い】ご苦労様,上司に対して「ご苦労様です」と言うのは？\n A. OK\n B. NG\n C. TPOによる\n D. 元気なら良い,ヒント1：「苦労」をねぎらうのは、上から下への行為です。\n\nヒント2：目上の人には「お疲れ様です」を使います。,正解：B. NG\n\n【解説】\n「ご苦労様」は目上が目下にかける言葉です。上司や取引先に対しては「お疲れ様です」を使うのが鉄則です。「お疲れ様」は目上・目下どちらにも使えて便利です。,何気ない一言ですが、「ご苦労」と言ってしまうと上から目線になってしまいます。要注意！,,,
,入稿済,2026/01/20,,,business-manner/article/52,ビジネスマナー,【来客】座布団,和室に通された際、座布団にはいつ座る？\n A. 部屋に入ってすぐ\n B. 勧められてから\n C. 自分で敷いてから\n D. 座らない,ヒント1：座布団は相手が用意してくれた「もてなし」です。\n\nヒント2：勝手に座るのは厚かましいと思われます。,正解：B. 勧められてから\n\n【解説】\n部屋に通されても、すぐには座布団に座らず、下座（座布団の下）で挨拶をします。相手から「どうぞ」と勧められてから「失礼します」と座るのが正式なマナーです。,座布団の真ん中を踏まず、膝行（しっこう）で座れると、達人の域ですね。,,,
,入稿済,2026/01/20,,,business-manner/article/53,ビジネスマナー,【メール】返信のRe,件名についた「Re:」は消して返信する？\n A. 消す\n B. 残す\n C. 新しく書き直す\n D. どちらでも良い,ヒント1：相手は何の件についての返信か知りたいはずです。\n\nヒント2：ラリーが続いている証拠です。,正解：B. 残す\n\n【解説】\n「Re:」は残したまま返信するのが基本です。これによって、どのメールへの返信かが一目でわかります。ただし、「Re:Re:Re:…」と長くなりすぎた場合は、適宜整理しても構いません。,Reの回数は会話のキャッチボールの回数。消してしまうと履歴が追えなくなります。,,,
,入稿済,2026/01/21,,,business-manner/article/54,ビジネスマナー,【Zoom】カメラ目線,Web会議で相手と「目を合わせる」にはどこを見る？\n A. 画面の相手の顔\n B. カメラのレンズ\n C. キーボード\n D. 自分の顔,ヒント1：画面の顔を見ていると、相手からは少し下を向いているように見えます。\n\nヒント2：自分が話す時は、相手の目に届くように…,正解：B. カメラのレンズ\n\n【解説】\n相手の顔を見たい気持ちはわかりますが、画面を見ると視線が下がります。自分が話す時や、相槌を打つ時は、カメラのレンズを見ることで、相手には「目が合っている」ように映ります。,デジタル時代の新しいマナー。レンズの向こうに相手がいると意識しましょう。,,,
,入稿済,2026/01/21,,,business-manner/article/55,ビジネスマナー,【マスク】挨拶,外出先でばったり取引先の人に会いました。挨拶する時マスクは？\n A. つけたまま話す\n B. 一瞬外すか、ずらす\n C. 顎にかける\n D. 投げ捨てる,ヒント1：感染対策が当たり前の時代ですが、顔を見せるのも礼儀。\n\nヒント2：状況によりますが、「誰かわかるように」配慮します。,正解：A. つけたまま話す（状況による）\n\n【解説】\n現在は感染対策として、マスクをしたままの挨拶が失礼にあたらないとされています。「マスクをしたままで失礼します」と一言添えれば丁寧です。ただし、距離が十分ある屋外なら、一瞬外して顔を見せるのも親愛の情が伝わります。,目元の表情だけで笑顔を伝える「目で笑う」スキルが重要になっていますね。,,,
,入稿済,2026/01/22,,,business-manner/article/56,ビジネスマナー,【会食】お酒の注ぎ方,ビール瓶でお酌をする際、ラベルの位置は？\n A. 下に向ける\n B. 上（天）に向ける\n C. 横に向ける\n D. 気にしなくて良い,ヒント1：ラベルは銘柄の「顔」です。\n\nヒント2：注がれる相手に見えるようにします。,正解：B. 上（天）に向ける\n\n【解説】\nビールのラベルを上（天井側）に向けて、手で隠れないように持ちます。相手に銘柄が見えるようにするためです。注ぎ終わった後も、ラベルを相手に向けてテーブルに置くと美しいです。,お酒の席でも気配りを忘れない。それが「できる社会人」の嗜みです。,,,
,入稿済,2026/01/22,,,business-manner/article/57,ビジネスマナー,【言葉遣い】とんでもございません,褒められた時の謙遜で「とんでもございません」は正しい？\n A. 正しい\n B. 本来は誤用だが定着している\n C. 絶対に禁止\n D. 相手を馬鹿にしている,ヒント1：本来「とんでもない」という形容詞です。\n\nヒント2：「ない」の一部だけを丁寧にするのは文法的に変でしたが、今は…,正解：B. 本来は誤用だが定着している\n\n【解説】\n文法的には「とんでもないことでございます」が正解とされてきましたが、2007年の文化審議会の指針で「とんでもございません」も許容されるようになりました。今では広く使われています。,言葉は生き物。あまり堅苦しく考えず、感謝の気持ちと共に伝えましょう。,,,
,入稿済,2026/01/23,,,business-manner/article/58,ビジネスマナー,【身だしなみ】ネクタイの長さ,ジャケットを着た時、ネクタイの剣先（先端）はどの位置がベスト？\n A. ベルトのバックルにかかるくらい\n B. ベルトよりだいぶ上\n C. ベルトよりだいぶ下/n D. ズボンの中に入れる,ヒント1：短すぎると子供っぽく、長すぎるとだらしなく見えます。\n\nヒント2：ベルトのバックルが半分隠れる程度が良いとされます。,正解：A. ベルトのバックルにかかるくらい\n\n【解説】\n直立した状態で、ネクタイの大剣（太い方の先）がベルトのバックルに少しかかる長さが最も美しいバランスです。ベストを着用する場合は、ベストからはみ出さないようにします。,スーツはサイズ感が命。ネクタイの長さ一つで印象がガラリと変わります。,,,
,入稿済,2026/01/23,,,business-manner/article/59,ビジネスマナー,【傘】持ち方,濡れた長い傘を持って歩く時、どう持つのがマナー？\n A. 腕に掛けて振る\n B. まっすぐ下に向けて持つ\n C. 肩に担ぐ\n D. 横に持つ,ヒント1：横に持つと、後ろの人に突き刺さる危険があります。\n\nヒント2：自分の体に寄せて、垂直に。,正解：B. まっすぐ下に向けて持つ\n\n【解説】\n傘を振ったり、横向きに持つ（「石突」を後ろに向ける）のは非常に危険です。必ずハンドルを持ち、剣先を下に向けて、自分の体に沿わせて持ちましょう。,雨の日の駅などで、横持ちの傘にヒヤッとすることありますよね。加害者にならないように注意。,,,
,入稿済,2026/01/24,,,business-manner/article/60,ビジネスマナー,【退社】帰る時の挨拶,先に帰る時、残っている人にかける言葉は？\n A. さようなら\n B. ご苦労様です\n C. お先に失礼します\n D. 頑張ってください,ヒント1：相手はまだ仕事をしています。\n\nヒント2：自分だけ先に帰ることを詫びつつ、労る言葉です。,正解：C. お先に失礼します\n\n【解説】\n「お先に失礼します」が基本です。残る人は「お疲れ様です」と返します。黙って帰るのはマナー違反。明るく声をかけて、気持ちよく一日を締めくくりましょう。,挨拶で始まり、挨拶で終わる。基本中の基本ですが、一番大切なコミュニケーションです。,,,
,入稿済,2026/01/11,,,difficult-kanji/article/1,難読漢字,【難読苗字】鷹がいないとどうなる？実在する素敵すぎる苗字,日本には珍しい苗字がたくさんあります。この漢字、正しく読めますか？\n\n小鳥遊,ヒント1：実在する苗字です。\n\nヒント2：「鷹」がいないので小鳥が安心して遊べる、という状況を思い浮かべてください。,正解は「たかなし」です。\n\n【解説】\n「天敵である鷹がいないため、小鳥が安心して遊べる」という様子を表現した、非常に風流な苗字です。難読苗字の代表格として知られていますが、実在する人数はそれほど多くありません。,由来を知ると、思わず誰かに話したくなりますね。,,,
,入稿済,2026/01/11,,,difficult-kanji/article/2,難読漢字,【難読地名】大阪人は全員読める！？他県民には衝撃的なあの駅名,大阪府には難読地名が多く存在します。この漢字、正しく読めますか？\n\n放出,ヒント1：JRの駅名にもなっています。\n\nヒント2：「ほうしゅつ」ではありません。「は〇てん」です。,正解は「はなてん」です。\n\n【解説】\n大阪府大阪市鶴見区・城東区にある地名です。古代、河内湖から水が淀川へ放出される場所だったことに由来すると言われています。「はなてん中古車センター」のCMで関西では有名ですが、他地域の人にはなかなか読めない難読地名です。,関西出身の人に聞いてみてください。きっと即答してくれますよ。,,,
,入稿済,2026/01/12,,,difficult-kanji/article/3,難読漢字,【難読苗字】嘘じゃない！カレンダーみたいな実在の苗字,日本には珍しい苗字がたくさんあります。この漢字、正しく読めますか？\n\n四月一日,ヒント1：日付がそのまま苗字になっています。\n\nヒント2：昔、この時期になると着物の「あるもの」を抜いて衣替えをしていました。,正解は「わたぬき」です。\n\n【解説】\n旧暦の4月1日は衣替えの時期で、冬の間着物に詰めていた「綿」を「抜く」習慣があったことに由来します。日付がそのまま読み方になるのではなく、その日の風習が読み方になった珍しいパターンです。,エイプリルフールの嘘ではありません。本当に実在する苗字なんです。,,,
,入稿済,2026/01/12,,,difficult-kanji/article/4,難読漢字,【難読地名】東京23区の難読地名！『たにざいけ』じゃありません,東京都足立区にある地名です。この漢字、正しく読めますか？\n\n谷在家,ヒント1：日暮里・舎人ライナーの駅名にもなっています。\n\nヒント2：「在家（ざいけ）」は、出家せずに仏道修行をする人のことです。,正解は「やざいけ」です。\n\n【解説】\n「谷（たに）」ではなく「谷（や）」と読みます。かつては湿地帯で、谷のような地形に家（在家）があったことに由来すると言われています。東京23区内でも指折りの難読地名の一つです。,路線図を見ていて「ん？」となる駅名ですね。,,,
,入稿済,2026/01/13,,,difficult-kanji/article/5,難読漢字,【難読熟語】ニュースで聞くけど読めない…大人の危険な熟語,事件のニュースなどで耳にする言葉です。この漢字、正しく読めますか？\n\n美人局,ヒント1：男女が共謀して行う犯罪行為のことです。\n\nヒント2：「びじんきょく」ではありません。「つ〇もたせ」です。,正解は「つつもたせ」です。\n\n【解説】\n妻が他の男と通じている現場を、夫が踏み込んで脅し、金品をゆする行為を指します。中国の古い書物に出てくる言葉に由来すると言われています。言葉の意味も漢字の読みも、大人なら知っておきたい常識ですね。,「びじんきょく」と読んでしまうと恥ずかしいかも！？,,,
,入稿済,2026/01/13,,,difficult-kanji/article/6,難読漢字,【難読苗字】「つきみさと」じゃないの！？この漢字、なんて読む？,日本には珍しい苗字がたくさんあります。この漢字、正しく読めますか？\n\n月見里,ヒント1：実在する苗字です。\n\nヒント2：「山」がなければ、月がよく見える、という意味が込められています。,正解は「やまなし」です。\n\n【解説】\n山梨県や静岡県などに見られる珍しい苗字です。由来は非常に風流で、「山が無いと月がよく見える（月見が良い里）」という様子を、そのまま「山無し（やまなし）」と読ませたと言われています。漢字の組み合わせから想像する読み方とは、ひと味違う難読苗字の代表格です。,読めた人はスゴイ！周りの人にも出題してみてくださいね。,,,
,入稿済,2026/01/10,,,business-manner/article/61,ビジネスマナー,【Excel】「1+2+3…」と手打ちしてない？合計を一瞬で出す常識技,売上表の合計を出したい時、セルに一つずつ「+」で足していくのは卒業！一発で合計を出す関数はどれ？\n A. SUM関数\n B. SAM関数\n C. ADD関数\n D. PLUS関数,ヒント1：英語で「合計」という意味の単語です。\n\nヒント2：「サム」と読みます。,正解：A. SUM関数\n\n【解説】\n合計を求めるなら「SUM（サム）関数」が基本です。オートSUMボタンを使えば、範囲選択も自動で行ってくれるので、手入力の手間が劇的に減ります。SAMやADDという関数はExcelには標準ではありません（ADDは加算の意味ですが関数名はSUMです）。,電卓を叩くより100倍早い！これぞ文明の利器ですね。,,,
,入稿済,2026/01/10,,,business-manner/article/62,ビジネスマナー,【PC仕事術】「あ、消しちゃった！」と叫ぶ前に押すべき魔法のキー,作成中の文章を間違えて消してしまった！そんな時、一瞬で「ひとつ前の状態に戻す」ショートカットキーは？\n A. Ctrl + C\n B. Ctrl + Z\n C. Ctrl + P\n D. Ctrl + S,ヒント1：キーボードの左下に指を置いてください。\n\nヒント2：Zは「Z（絶対）に戻す」と覚え…られなくもない？,正解：B. Ctrl + Z\n\n【解説】\n「Ctrl + Z」は「元に戻す（Undo）」のショートカットです。間違えて消しても、上書きしても、これを押せば直前の状態に戻ります。逆に「戻しすぎた」時は「Ctrl + Y（やり直し）」です。,このキーを知っているだけで、人生のミスの半分は帳消しにできます。,,,
,入稿済,2026/01/11,,,business-manner/article/63,ビジネスマナー,【PC仕事術】マウスでカチカチしてない？画面を一瞬で切り替える技,複数のアプリを開いて作業中。マウスを使わずに、素早く別のウィンドウ（画面）に切り替えるショートカットは？\n A. Alt + Tab\n B. Ctrl + Esc\n C. Shift + Delete\n D. F5,ヒント1：親指と薬指（または中指）を使うと押しやすいです。\n\nヒント2：Tabキーは「進む」役割があります。,正解：A. Alt + Tab\n\n【解説】\n「Alt + Tab」を押すと、現在開いているウィンドウの一覧が表示され、Altを押したままTabを押すことで次々と画面を切り替えられます。マウスに持ち替える時間を節約できる、時短の王様です。,「出来る人」の画面がパパパッと切り替わるのは、この技を使っているからです。,,,
,入稿済,2026/01/11,,,business-manner/article/64,ビジネスマナー,【セキュリティ】離席するとき画面そのまま？それ、情報漏洩です！,トイレや休憩で席を立つ時、画面を他人に見られないようにロックする正しいショートカットは？\n A. Windowsキー + L\n B. 電源ボタン長押し\n C. Ctrl + Alt + Delete\n D. モニターの電源を切る,ヒント1：「Lock（ロック）」の頭文字です。\n\nヒント2：Windowsのロゴキーを使います。,正解：A. Windowsキー + L\n\n【解説】\n「Windowsキー + L」で、一瞬で画面をロック（ログオン画面へ移行）できます。Cも可能ですが手順が多いです。離席時の画面ロックは、現代のビジネスマナーの基本中の基本です。,カフェで仕事をする時も必須。情報はあなたの背中から漏れていますよ。,,,
,入稿済,2026/01/12,,,business-manner/article/65,ビジネスマナー,【Excel】スクロールしたら見出しが消えた…そんなイライラは今日で終了,縦に長い表を見ていると、下の方に行った時に「あれ、この列なんだっけ？」となりがち。常に見出しを表示させておく機能は？\n A. ウィンドウ枠の固定\n B. フィルター\n C. 条件付き書式\n D. 印刷プレビュー,ヒント1：「表示」タブの中にあります。\n\nヒント2：枠を動かないように「固定」します。,正解：A. ウィンドウ枠の固定\n\n【解説】\n「表示」タブにある「ウィンドウ枠の固定」を使えば、先頭行や特定の列を常に表示させたままスクロールできます。これをしていない表は、読み手にとって非常にストレスになります。,自分が見やすいだけでなく、ファイルを見る相手への「思いやり」機能です。,,,
,入稿済,2026/01/12,,,business-manner/article/66,ビジネスマナー,【名刺交換】「頂戴いたします」と言いながら、あなたの指はどこにある？,相手から名刺を受け取る際、絶対にやってはいけない指の位置は？\n A. 名刺の余白部分を持つ\n B. 相手のロゴや名前の上を持つ\n C. 両手で持つ\n D. 胸の高さで持つ,ヒント1：名刺は「相手の顔」です。\n\nヒント2：相手の顔の上に指を置いたら失礼ですよね？,正解：B. 相手のロゴや名前の上を持つ\n\n【解説】\n名刺に印刷されている会社名、ロゴ、氏名、顔写真などの上に指を置くのはマナー違反です。名刺は「相手そのもの」。必ず何も書かれていない余白の角を持つようにしましょう。,無意識に親指で名前を隠していませんか？今すぐチェック！,,,
,入稿済,2026/01/13,,,business-manner/article/67,ビジネスマナー,【メール】その「Bcc」、本当に大丈夫？一斉送信の大事故を防げ,互いに面識のない複数のお客様に一斉メールを送ります。宛先（To）以外のメールアドレスを隠すために入れる場所は？\n A. Cc\n B. Bcc\n C. Re\n D. Fw,ヒント1：Blind（見えない）Carbon Copyの略です。\n\nヒント2：Ccに入れると、受信者全員に他の人のアドレスが見えてしまいます。,正解：B. Bcc\n\n【解説】\nBcc（ブラインド・カーボン・コピー）に入力されたアドレスは、他の受信者には表示されません。面識のない複数人に送る際、ToやCcに入れてしまうと「個人情報漏洩」となり、企業の信用問題に関わります。,「Ccで送っちゃった！」は始末書もの。送信前の指差し確認を忘れずに。,,,
,入稿済,2026/01/13,,,business-manner/article/68,ビジネスマナー,【Excel】印刷したら端っこが切れてる！紙の無駄遣いを防ぐには？,Excelで作った表を印刷したら、右端の1列だけ次のページにはみ出してしまった！1枚に収めるための機能は？\n A. 改ページプレビュー\n B. セルの結合\n C. フォントを小さくする\n D. モニターを叩く,ヒント1：印刷範囲を青い線で調整できる機能です。\n\nヒント2：画面右下のアイコンからも切り替えられます。,正解：A. 改ページプレビュー\n\n【解説】\n「改ページプレビュー」モードにすると、どこでページが区切られるかが青い点線で表示されます。この線をドラッグして移動させるだけで、印刷範囲を1ページに収めるよう自動調整（縮小）できます。,上司に渡した資料、2枚目に「合計」だけ印字されていませんか？,,,
,入稿済,2026/01/14,,,business-manner/article/69,ビジネスマナー,【上座下座】エレベーターで部下がボタン前…それ、実はNGかも！？,エレベーターに「お客様・上司・あなた」の3人で乗ります。あなたが操作盤の前に立ちました。さて、あなたの立ち位置は正しい？\n A. 正しい\n B. 間違い（操作盤の前が上座だから）\n C. 間違い（誰も乗っていない奥が下座だから）\n D. 状況による,ヒント1：操作盤の前は、ボタン操作をする「働き手」の場所です。\n\nヒント2：つまり、一番下っ端の席（下座）です。,正解：A. 正しい\n\n【解説】\nエレベーターでは、操作盤の前が「下座（一番目下の人）」、奥が「上座（一番偉い人）」となります。あなたが部下なら、操作盤の前に立ち、「開」ボタンを押して安全を確保するのが正解です。,乗り込むときは「お先に失礼します」と先に入ってボタンを押さえるのがスマート！,,,
,入稿済,2026/01/14,,,business-manner/article/70,ビジネスマナー,【PC仕事術】マウスで範囲選択してない？「全選択」の一撃,ファイル内の文字や、フォルダ内の全ファイルをすべて選択したい！マウスでズルーっとドラッグするより早いショートカットは？\n A. Ctrl + A\n B. Ctrl + S\n C. Ctrl + F\n D. Ctrl + X,ヒント1：「All（すべて）」の頭文字です。\n\nヒント2：Excelならシート全体、Wordなら文章全体が選ばれます。,正解：A. Ctrl + A\n\n【解説】\n「Ctrl + A」は「すべて選択（Select All）」のショートカットです。マウスで上から下までドラッグしなくても、一瞬で全て選べます。長文のコピーや、フォルダ整理で大活躍します。,範囲が広すぎて手がプルプルするドラッグ操作とはおさらばです。,,,
